Servicios,Especialidades,Doctores,Servicios_Link,Descripcion_Especialidades,Informacion_Especialidades,text,embeddings,ids
Cpre – Cálculos Biliares,Gastroenterología,Ericson Ronald Arcana Lopez,https://cirugia24horas.com/wp-content/uploads/2021/06/Servicio-Cirugia-de-Cpre.webp,"Contamos con especialistas, Cirujanos Gastroenterólogo y Endoscopia Avanzada, que llevan a cabo las intervenciones con total seguridad gracias a sus más de 15 años de experiencia en operaciones de este tipo.","La Cirugía General y del Aparato Digestivo es la especialidad médica que se ocupa de la prevención, diagnóstico y tratamiento quirúrgico de las enfermedades que afectan a cualquier parte del aparato digestivo, retroperitoneo, sistema endocrino, mama, pared abdominal, piel y partes blandas.","Cpre – Cálculos Biliares Gastroenterología Ericson Ronald Arcana Lopez Contamos con especialistas, Cirujanos Gastroenterólogo y Endoscopia Avanzada, que llevan a cabo las intervenciones con total seguridad gracias a sus más de 15 años de experiencia en operaciones de este tipo. La Cirugía General y del Aparato Digestivo es la especialidad médica que se ocupa de la prevención, diagnóstico y tratamiento quirúrgico de las enfermedades que afectan a cualquier parte del aparato digestivo, retroperitoneo, sistema endocrino, mama, pared abdominal, piel y partes blandas.","[0.08602011203765869, -0.051396023482084274, -0.025485845282673836, -0.008913648314774036, -0.12580767273902893, -0.04196607321500778, 0.024703795090317726, 0.12006239593029022, 0.0003420101711526513, -0.050029851496219635, 0.04596185311675072, -0.015233805403113365, -0.004812533035874367, 0.0006251205340959132, -0.08561476320028305, -0.09190342575311661, 0.04747386276721954, -0.03469634801149368, 0.049157604575157166, -0.02767983265221119, 0.03297647088766098, 0.0029871496371924877, 0.028496503829956055, 0.019334562122821808, -0.10643208771944046, -0.0384259894490242, 0.045250847935676575, -0.040626127272844315, -0.058288801461458206, -0.03311769291758537, -0.013109545223414898, -0.0379599891602993, 0.1531643569469452, -0.03456680104136467, 0.006741937715560198, -0.023201867938041687, 0.03046514093875885, -0.005178454332053661, 0.036494962871074677, 0.018759354948997498, -0.014696157537400723, -0.026453552767634392, -0.0421086885035038, -0.07110495865345001, -0.016655799001455307, -0.022121207788586617, -0.053585778921842575, 0.03133266791701317, 0.0439663864672184, 0.06070644408464432, -0.04563608020544052, -0.10847902297973633, -0.008926685899496078, 0.03089272230863571, 0.04677215963602066, -0.10438917577266693, -0.010986752808094025, -0.053657736629247665, -0.0360298790037632, -0.07279515266418457, -0.02201048471033573, -0.004285460337996483, 0.029997972771525383, -0.0031517543829977512, 0.020828023552894592, -0.0963243916630745, 0.11925087124109268, -0.016817979514598846, 0.032245222479104996, -0.0022505384404212236, 0.03530021756887436, -0.08005771040916443, 0.02803804539144039, 0.031902212649583817, -0.0678306296467781, 0.027552809566259384, 0.06404281407594681, 0.03977936506271362, -0.0286405086517334, -0.004520997870713472, -0.0036070826463401318, 0.03030424192547798, 0.024607861414551735, -0.052083346992731094, -0.016068490222096443, 0.0446365587413311, -0.06133291870355606, 0.07211365550756454, 0.013066700659692287, -0.060197681188583374, 0.0068697212263941765, 0.0005677411099895835, 0.01265900768339634, -0.07312028855085373, 0.045045919716358185, -0.08192494511604309, -0.011861305683851242, -0.12327823787927628, 0.06017201021313667, -0.06689271330833435, -0.03147776424884796, 0.006173363886773586, 0.1034219041466713, 0.013761831447482109, -0.004283268935978413, 0.009175315499305725, 0.02127140946686268, -0.008017772808670998, 0.04569962993264198, 0.009607246145606041, 0.00552942231297493, 0.03937055170536041, 0.0030872684437781572, -0.05009328946471214, -0.03586767241358757, 0.07498519122600555, -0.005332959350198507, -0.05031212046742439, -0.010505043901503086, 0.07219997048377991, -0.06527736037969589, -0.008432099595665932, 0.025609364733099937, -0.05669494345784187, 0.090532585978508, 0.04403035342693329, 0.023338938131928444, 6.984068176980123e-33, -0.04296467453241348, -0.027032047510147095, -0.029044127091765404, 0.034095633774995804, 0.04789106547832489, 0.05422898381948471, 0.01710260659456253, -0.0586235448718071, 0.05962545797228813, -0.08534388989210129, -0.019932888448238373, -0.029764452949166298, 0.08634597063064575, 0.029556775465607643, -0.04846613481640816, 0.04005282744765282, 0.020518114790320396, 0.036989595741033554, -0.06001429632306099, 0.05476384237408638, -0.05558636039495468, 0.00046399550046771765, 0.04644865170121193, -0.07605919241905212, 0.02892705611884594, 0.09549669921398163, -0.06376916170120239, 0.034179214388132095, -0.04813431203365326, -0.03751807659864426, 0.03494219481945038, -0.002057311125099659, 0.06624718755483627, 0.021858567371964455, -0.03741137683391571, -0.006963495630770922, 0.04136296361684799, 0.03168703243136406, 0.006564140785485506, 0.021990200504660606, 0.013151852414011955, -0.01315188780426979, -0.005746275652199984, 0.05025000497698784, 0.033999960869550705, -0.11101339012384415, -0.05763556435704231, 0.03938160091638565, 0.053680144250392914, 0.06122623756527901, 0.028286036103963852, -0.03861505165696144, 0.014197980985045433, -0.05908038839697838, -0.03168675675988197, 0.03290059044957161, -0.01624181680381298, -0.04684655740857124, -0.025528019294142723, -0.009107241407036781, 0.10051548480987549, 0.08555358648300171, 0.02698393166065216, 0.03773671016097069, -0.047909487038850784, -0.05451888218522072, -0.12201274931430817, -0.009802979417145252, 0.07976488023996353, 0.10512442141771317, -0.1459893435239792, -0.04539943113923073, -0.0320650078356266, 0.0482950359582901, 0.02987547777593136, -0.04936406388878822, -0.06313920766115189, -0.027477893978357315, 0.007140025496482849, 0.027667073532938957, -0.031066397204995155, -0.021680746227502823, 0.10379351675510406, 0.041288457810878754, 0.009363055229187012, 0.052670955657958984, -0.03624618798494339, 0.07407196611166, -0.0012389782350510359, 0.06412841379642487, -0.06940961629152298, 0.12837710976600647, -0.04642219468951225, 0.10556671768426895, 0.08054644614458084, -1.1298282320027648e-32, 0.052819572389125824, 0.032977618277072906, 0.012843352742493153, -0.007928798906505108, 0.008972160518169403, 0.016788436099886894, -0.003644474782049656, -0.006172951310873032, -0.024455498903989792, -0.0737171471118927, -0.0046935235150158405, 0.011124187149107456, 0.029128072783350945, -0.07955870777368546, 0.0342562161386013, 0.18048487603664398, -0.04061106592416763, 0.005832296796143055, -0.03282591700553894, -0.03167200833559036, -0.06861473619937897, -0.029558368027210236, 0.019728342071175575, -0.10071716457605362, -0.07186942547559738, -0.005683924071490765, 0.06672792136669159, -0.08296763151884079, -0.04229793697595596, -0.016077905893325806, 0.055302269756793976, 0.047765590250492096, 0.0028622611425817013, -0.005647074431180954, 0.02357717789709568, -0.012251661159098148, -0.06073107570409775, -0.00735357403755188, -0.023995772004127502, -0.015007984824478626, 0.005953308194875717, 0.02059708535671234, 0.0332963764667511, -0.0071169352158904076, -0.04636777192354202, -0.05438413843512535, 0.115119569003582, -0.12333022058010101, -0.05841919779777527, -0.03737461566925049, 0.020594371482729912, -0.0863967165350914, -0.007556570693850517, 0.011867469176650047, 0.06634251028299332, 0.015125312842428684, -0.05477941036224365, -0.05340324342250824, -0.05373989790678024, -0.006411712616682053, 0.011152722872793674, -0.002294231206178665, 0.049618449062108994, -0.004141908138990402, 0.09983722120523453, -0.0303591750562191, -0.02111124061048031, -0.05317562445998192, 0.03932136297225952, -0.001209527486935258, 0.030107799917459488, -0.028110381215810776, -0.081678606569767, 0.018256546929478645, -0.02187461219727993, 0.031272511929273605, -0.09794559329748154, -0.009919479489326477, -0.0022253114730119705, -0.036453455686569214, -0.0654340609908104, -0.016299976035952568, 0.007136429660022259, -0.004230439197272062, -0.04196978360414505, -0.03265717625617981, -0.10997135937213898, -0.017108317464590073, -0.032771944999694824, -0.015870600938796997, 0.019152803346514702, -0.028149081394076347, -0.013061091303825378, -0.08082465082406998, 0.03693918511271477, -5.816896475607791e-08, -0.005222391802817583, -0.0631798803806305, -0.05709210783243179, 0.019748734310269356, -0.037860143929719925, -0.08011363446712494, -0.10077368468046188, 0.013202833011746407, 0.04809180274605751, 0.027420010417699814, -0.07441890239715576, 0.07216673344373703, -0.023186558857560158, 0.002009270479902625, -0.027347922325134277, -0.011657992377877235, -0.0489967055618763, 0.07764605432748795, -0.02340536192059517, 0.050616003572940826, -0.07796326279640198, -0.11792472004890442, -0.0061163087375462055, -0.05097855255007744, 0.04185985028743744, -0.00043197377817705274, 0.007147900760173798, 0.10341113060712814, -0.02150665409862995, -0.016686296090483665, 0.0013480159686878324, 0.0014092348283156753, -0.022665919736027718, -0.0384540781378746, 0.0256459079682827, -0.02449003979563713, 0.073029525578022, 0.0005314892041496933, -0.04646278917789459, 0.051998257637023926, 0.067501001060009, -0.039127133786678314, 0.022316712886095047, -0.02301645465195179, -0.039516206830739975, -0.06345239281654358, -0.014789963141083717, 0.053542278707027435, 0.03744889423251152, -0.03455214202404022, 0.0076607405208051205, -0.03789951279759407, 0.044028300791978836, 0.03451569750905037, 0.0011838815407827497, -0.005705945193767548, 0.044789548963308334, 0.004489039536565542, 0.0203799270093441, 0.060714904218912125, 0.06261385977268219, 0.036956049501895905, 0.042117029428482056, -0.07349549978971481]",0
Cirugía de Tiroides,Cabeza y Cuello,Boris Johann Villavicencio Peña,https://cirugia24horas.com/wp-content/uploads/2019/11/Servicio-Cirugia-De-Tiroides.webp,"Contamos con especialistas, Cirujanos Maxilo Faciales, que llevan a cabo las intervenciones con total seguridad gracias a sus más de 15 años de experiencia en operaciones de este tipo.","Esta especialidad incluye el diagnóstico y tratamiento médico, quirúrgico y reconstructivo de las enfermedades, traumatismos y defectos que comprometen aspectos funcionales y/o tejidos de la región de la cabeza, cara y el cuello.","Cirugía de Tiroides Cabeza y Cuello Boris Johann Villavicencio Peña Contamos con especialistas, Cirujanos Maxilo Faciales, que llevan a cabo las intervenciones con total seguridad gracias a sus más de 15 años de experiencia en operaciones de este tipo. Esta especialidad incluye el diagnóstico y tratamiento médico, quirúrgico y reconstructivo de las enfermedades, traumatismos y defectos que comprometen aspectos funcionales y/o tejidos de la región de la cabeza, cara y el cuello.","[0.011668719351291656, 0.018600940704345703, 0.02412896603345871, -0.05850645899772644, -0.09023643285036087, -0.025796586647629738, 0.010045070201158524, 0.16797472536563873, -0.07595032453536987, 0.07525736093521118, 0.07134661823511124, -0.04745262488722801, 0.013191744685173035, 0.08435618877410889, -0.019591229036450386, -0.07452578842639923, -0.054295990616083145, 0.03656056895852089, 0.017955951392650604, 0.027044884860515594, 0.05273139849305153, -0.032446157187223434, -0.0648350641131401, -0.010575327090919018, -0.10071681439876556, 0.0009480442968197167, -0.09028659760951996, -0.004771477077156305, -0.014934621751308441, -0.05945608392357826, -0.073082335293293, -0.005450877360999584, 0.054725512862205505, -0.06736939400434494, -0.03223332762718201, 0.0036880923435091972, -0.032516174018383026, -0.017342664301395416, -0.05301404744386673, 0.09624631702899933, -0.08638019859790802, 0.030611490830779076, -0.11404848843812943, -0.052211225032806396, -0.000818585220258683, 0.016629640012979507, 0.0002034875360550359, 0.023665238171815872, -0.010671425610780716, -0.016526397317647934, -0.07347532361745834, -0.08870858699083328, 0.08624668419361115, 0.00499650277197361, -0.017313716933131218, -0.07821501046419144, -0.04124590381979942, -0.061276741325855255, -0.007696869317442179, 0.08893227577209473, 0.025656037032604218, 0.0062272739596664906, -0.006381057668477297, 0.04654724895954132, -0.030434181913733482, -0.0013384948251768947, 0.016512809321284294, -0.05427553132176399, -0.006334638223052025, 0.0757407695055008, 0.13429266214370728, -0.13291916251182556, -0.018917502835392952, 0.018674276769161224, -0.03714238107204437, 0.013360791839659214, -0.010968001559376717, 0.013983028009533882, -0.010702221654355526, 0.008274362422525883, -0.08571374416351318, 0.03469204530119896, 0.03494969755411148, -0.025988444685935974, 0.005765369161963463, 0.049469321966171265, 0.010432654060423374, 0.017576899379491806, -0.10016989707946777, 0.08071848005056381, 0.022252991795539856, 0.11393393576145172, -0.09052685648202896, -0.0013569790171459317, 0.016980139538645744, 0.03279189392924309, -0.034936219453811646, -0.022559501230716705, 0.03382529318332672, 0.022317813709378242, 0.01165281143039465, -0.09939204901456833, -0.005450661759823561, 0.07375296950340271, 0.006604792084544897, -0.05610508844256401, -0.03005889058113098, -0.10359861701726913, -0.037758056074380875, 0.0015116446884348989, -0.012853914871811867, 0.040843747556209564, -0.03576824069023132, -0.009469757787883282, 0.0044574737548828125, -0.022954460233449936, -0.052425019443035126, -0.0018122174078598619, 0.03167566657066345, -0.03340531885623932, 0.03728619962930679, -0.0800839364528656, -0.0040460918098688126, -0.10270005464553833, 0.028750034049153328, -0.02618980221450329, -0.029163364320993423, 6.107816484310788e-33, 0.020299628376960754, 0.018996676430106163, -0.04398389533162117, 0.045582082122564316, 0.026393376290798187, 0.10740154981613159, -0.02454359456896782, 0.033613190054893494, 0.009128858335316181, -0.002471915213391185, -0.08841978013515472, 0.04061739891767502, 0.011922342702746391, 0.021589959040284157, -0.02447170950472355, 0.03528823330998421, 0.021978767588734627, 0.023689834401011467, -0.07433552294969559, -0.03779913857579231, -0.03464026004076004, 0.0036903514992445707, 0.022136636078357697, 0.0833115205168724, -0.08318116515874863, 0.11590784788131714, -0.015102843753993511, -0.09180735796689987, -0.03584408387541771, 0.01049905363470316, 0.004287034273147583, -0.013898509554564953, 0.08930626511573792, -0.022450940683484077, -0.08768446743488312, -0.029904942959547043, 0.056731414049863815, -0.015766149386763573, -0.06789036840200424, 0.032732363790273666, 0.08326425403356552, 0.018288591876626015, 0.015121616423130035, 0.02078147791326046, -0.03190820664167404, 0.011939178220927715, -0.05666695535182953, 0.007121596951037645, -0.010998312383890152, -0.0853145644068718, 0.017850736156105995, 0.061472728848457336, 0.03733775019645691, -0.04197350889444351, -0.014661885797977448, 0.1483965367078781, -0.08807225525379181, -0.07270179688930511, -0.05750184878706932, 0.03142399713397026, 0.05880214273929596, -0.041148073971271515, 0.06579267978668213, 0.037432871758937836, 0.012799783609807491, -0.0352395661175251, -0.03174430876970291, -0.049436282366514206, 0.018239932134747505, -0.016104068607091904, -0.07604274898767471, -0.01907907798886299, -0.016671301797032356, 0.048400651663541794, -0.025262050330638885, 0.016824036836624146, 0.032245419919490814, 0.09241309016942978, -0.04762088507413864, -0.037170641124248505, -0.08630122989416122, 0.060144905000925064, 0.05939225107431412, -0.0006061821477487683, 0.04498101398348808, 0.022277457639575005, 0.007543568499386311, 0.036506906151771545, 0.045699987560510635, 0.14463207125663757, -0.02605821192264557, 0.015392224304378033, -0.04264669865369797, -0.02246890962123871, 0.01267480943351984, -9.966402404823871e-33, 0.005692456383258104, -0.03773345425724983, -0.025805611163377762, -0.0701574981212616, 0.029126640409231186, 0.06021770089864731, -0.07084079086780548, 0.04743362218141556, -0.017148612067103386, -0.008609485812485218, -0.0026618933770805597, -0.06225348263978958, -0.02477690391242504, -0.08547791838645935, -0.0010823786724358797, 0.007521484512835741, -0.040103886276483536, -0.08304669708013535, -0.10596466809511185, -0.04259215667843819, -0.02137911505997181, 0.0758202001452446, 0.02876562438905239, -0.09640446305274963, -0.0035830147098749876, 0.007371281739324331, -0.046980537474155426, -0.003317293943837285, -0.05157666653394699, 0.05549430474638939, 0.03421572223305702, 0.02507900632917881, -0.017978981137275696, 0.0860135555267334, 0.08277558535337448, 0.0903150662779808, 0.017913514748215675, -0.0696897804737091, 0.002822809386998415, 0.03380008041858673, -0.0009991524275392294, 0.006816931534558535, 0.04775990918278694, -0.007516738958656788, 0.08542466908693314, -0.0646803081035614, -0.03161930665373802, -0.07031432539224625, -0.08734380453824997, -0.011233395896852016, 0.005522404331713915, -0.03011247329413891, -0.032851219177246094, -0.026008155196905136, -0.03139403834939003, -0.04437760263681412, -0.02022203616797924, -0.08169519901275635, -0.04153187945485115, 0.042490314692258835, 0.10575540363788605, -0.0750068873167038, -0.10642927139997482, -0.01336251012980938, 0.0018138970481231809, 0.08280390501022339, -0.016013018786907196, -0.015032497234642506, 0.02118554711341858, 0.03847135975956917, 0.038372594863176346, -0.0016617528162896633, -0.046025048941373825, 0.013477269560098648, -0.05110004171729088, -0.030623551458120346, -0.08451778441667557, 0.020512649789452553, -0.0585009902715683, -0.004508958663791418, -0.007925424724817276, -0.004974312614649534, -7.975289190653712e-05, 0.04710371419787407, 0.006242565810680389, -0.0025297885295003653, 0.022330906242132187, 0.05148405581712723, -0.03954882174730301, -0.02808559685945511, -0.07014539837837219, 0.02087635174393654, -0.08873200416564941, -0.007493563462048769, 0.07522033900022507, -5.758294818747345e-08, -0.011984075419604778, 0.0037779624108225107, -0.03468279168009758, -0.04915411397814751, -0.016843019053339958, -0.056470006704330444, -0.03838313743472099, 0.04034925252199173, -0.0036069126799702644, 0.00631380220875144, -0.05841277539730072, 0.04533594846725464, 0.025762319564819336, -0.003548691514879465, -0.042850516736507416, 0.004167414736002684, 0.025604577735066414, 0.10394751280546188, -0.02083498053252697, -0.04644998162984848, -0.05339968949556351, -0.031454071402549744, 0.04859665781259537, -0.015443693846464157, -0.04932744428515434, -0.01505456306040287, -0.033984847366809845, 0.07677074521780014, -0.07500030845403671, 0.04467461630702019, 0.06656546145677567, 0.02220633439719677, 0.056575044989585876, -0.044082969427108765, 0.06695176661014557, 0.02919892594218254, 0.007781178690493107, -0.03189089149236679, 0.018950283527374268, -0.02934401109814644, 0.011659203097224236, -0.08247179538011551, 0.017939604818820953, 0.04365358501672745, -0.06357945501804352, -0.07313153892755508, 0.04625741019845009, 0.0439910963177681, 0.07076820731163025, 0.032693229615688324, 0.00860161054879427, 0.08781911432743073, 0.018335239961743355, 0.02030339278280735, -0.08108831197023392, 0.004919278435409069, 0.07265876978635788, 0.031191527843475342, -0.02735958620905876, 0.05849022790789604, 0.016215194016695023, 0.04857373982667923, 0.06597752124071121, -0.06614995002746582]",1
Cirugía de Piel y Partes Blandas,Oncología,Wilfredo Miguel Gonzales Ortiz,https://cirugia24horas.com/wp-content/uploads/2024/05/Servicio-Cirugia-de-Piel-Partes-Blandas.webp,"Contamos con especialistas, Cirujanos Oncólogos, que llevan a cabo las intervenciones con total seguridad gracias a sus más de 15 años de experiencia en operaciones de este tipo.","La Cirugía General y del Aparato Digestivo es la especialidad médica que se ocupa de la prevención, diagnóstico y tratamiento quirúrgico de las enfermedades que afectan a cualquier parte del aparato digestivo, retroperitoneo, sistema endocrino, mama, pared abdominal, piel y partes blandas.","Cirugía de Piel y Partes Blandas Oncología Wilfredo Miguel Gonzales Ortiz Contamos con especialistas, Cirujanos Oncólogos, que llevan a cabo las intervenciones con total seguridad gracias a sus más de 15 años de experiencia en operaciones de este tipo. La Cirugía General y del Aparato Digestivo es la especialidad médica que se ocupa de la prevención, diagnóstico y tratamiento quirúrgico de las enfermedades que afectan a cualquier parte del aparato digestivo, retroperitoneo, sistema endocrino, mama, pared abdominal, piel y partes blandas.","[0.0957253947854042, -0.04765254259109497, -0.016421420499682426, 0.0075560943223536015, -0.14123782515525818, -0.07167870551347733, 0.03369723632931709, 0.11677825450897217, 0.02974107675254345, -0.05339081957936287, 0.05811765417456627, 0.006985401269048452, -0.03160244598984718, -0.01966213621199131, -0.1104840412735939, -0.08788864314556122, 0.06437159329652786, 0.011127973906695843, 0.007445701397955418, -0.042155392467975616, 0.01345226913690567, 0.021312661468982697, 0.06364502757787704, 0.0546514093875885, -0.12280941009521484, -0.06217705458402634, -0.01075837668031454, -0.019531594589352608, -0.07166652381420135, -0.0564134381711483, -0.01619894616305828, -0.07390064001083374, 0.13030843436717987, -0.0258951298892498, -0.0011502645211294293, -0.01625826582312584, 0.030207067728042603, 0.03191583231091499, 0.05311509221792221, 0.0505942702293396, -0.0008106160094030201, -0.06112929433584213, -0.09312397986650467, -0.02751477248966694, 0.014545335434377193, -0.02285175956785679, -0.09412594139575958, 0.012972504831850529, 0.05975314602255821, 0.07890209555625916, -0.08858618885278702, -0.11146469414234161, -0.01143121998757124, 0.040062304586172104, -0.0008770943968556821, -0.09671946614980698, -0.015275533311069012, -0.03699464350938797, -0.05564355105161667, -0.02638702280819416, -0.07410798221826553, -0.049536678940057755, 0.033299461007118225, 0.04447926580905914, 0.021444130688905716, -0.06633346527814865, 0.1258212924003601, -0.046618830412626266, 0.04480954632163048, 0.03501083701848984, 0.05642963573336601, -0.09087569266557693, 0.0634986087679863, 0.03306563198566437, -0.04672911763191223, 0.04144759476184845, 0.07751348614692688, 0.030943874269723892, -0.0652087852358818, -0.009437001310288906, 0.03317985311150551, 0.060499049723148346, 0.03530609980225563, -0.016763921827077866, -0.02329510636627674, -0.022931750863790512, -0.03785867244005203, 0.04218994453549385, -0.011588895693421364, -0.03252758830785751, 0.03518600016832352, 0.0364157035946846, -0.028873799368739128, -0.05171582102775574, 0.059414420276880264, -0.025717642158269882, -0.031161338090896606, -0.1063239797949791, 0.014885488897562027, -0.028724174946546555, -0.05409364029765129, -0.04052305966615677, 0.057964619249105453, -0.022451523691415787, 0.017825232818722725, 0.003196909325197339, -0.059161704033613205, -0.0795954018831253, 0.002447323175147176, 0.019243933260440826, 0.025374140590429306, -0.0023578638210892677, -0.027260346338152885, -0.027986306697130203, -0.028663216158747673, 0.05201684683561325, -0.00023893509933259338, -0.05823702737689018, -0.013157053850591183, 0.05416823923587799, -0.045252978801727295, -0.06057743355631828, 0.04693155363202095, -0.03666822612285614, 0.03860345482826233, 0.0013211448676884174, 0.04144364595413208, 3.3536053023433365e-33, -0.035484034568071365, -0.024641409516334534, -0.035168714821338654, 0.08578047901391983, 0.03854042664170265, 0.06586186587810516, 0.03510642796754837, -0.06315534561872482, 0.04968605935573578, -0.07490887492895126, -0.006761751137673855, -0.011030847206711769, 0.015409477055072784, 0.048885732889175415, -0.002725370693951845, 0.00621007289737463, 0.012258373200893402, 0.010758546181023121, -0.020057395100593567, 0.05207214504480362, -0.0689033567905426, 0.020482713356614113, 0.005753956735134125, -0.09159558266401291, 0.038668859750032425, 0.09591824561357498, -0.08449375629425049, -0.009767979383468628, -0.08419028669595718, -0.023280547931790352, 0.03747984766960144, 0.022751228883862495, 0.08638878911733627, -0.0017844270914793015, -0.038096196949481964, -0.042394403368234634, 0.07697032392024994, 0.0650976225733757, 0.019502343609929085, 0.029445843771100044, 0.010867491364479065, -0.008571896702051163, 0.039926428347826004, 0.0540827251970768, 0.038891155272722244, -0.05353759229183197, -0.09324661642313004, 0.0402076356112957, 0.056310445070266724, 0.06059759110212326, 0.05851049721240997, -0.03369791805744171, 0.05304223299026489, -0.02278168685734272, -0.010990043170750141, -0.03887726739048958, -0.04906797036528587, -0.0589829757809639, -0.04488150775432587, 0.00013444556680042297, 0.0672508105635643, 0.02022070810198784, -0.0029812250286340714, -0.002414314541965723, -0.05164961516857147, -0.0452859066426754, -0.10656213760375977, -0.004449089989066124, 0.018707968294620514, 0.07359233498573303, -0.14341872930526733, -0.028061917051672935, -0.009142853319644928, 0.045117009431123734, -0.024303432554006577, -0.004012781195342541, -0.03102785535156727, 0.0062913186848163605, -0.018917664885520935, 0.013054666109383106, -4.741942757391371e-05, -0.04641446843743324, 0.020609986037015915, 0.04287451505661011, 0.0017839408246800303, 0.05757187306880951, -0.003060881281271577, 0.09913716465234756, 0.04093959555029869, 0.02478228695690632, -0.06461921334266663, 0.11863574385643005, -0.040247842669487, 0.10467049479484558, 0.09141094237565994, -8.315534465109204e-33, 0.017090091481804848, 0.014609484933316708, -0.029071401804685593, 0.022714534774422646, -0.007250919472426176, 0.03420345112681389, -0.012091764248907566, 0.024561094120144844, -0.0008457103976979852, -0.007572656497359276, -0.038918547332286835, -0.030924929305911064, -0.006487957201898098, -0.08821835368871689, -0.025435402989387512, 0.16319438815116882, -0.06245331093668938, 0.04114887863397598, -0.06889308243989944, -0.01382974162697792, -0.04912443831562996, 0.006678213831037283, 0.03331046923995018, -0.09781541675329208, -0.004259094595909119, 0.05369304120540619, 0.024722052738070488, -0.07717069238424301, -0.06236930936574936, 0.012285924516618252, 0.020803123712539673, 0.0171751007437706, 0.00718375388532877, -0.016510548070073128, -0.0011861833045259118, 0.00723650585860014, -0.024264324456453323, -0.010316574014723301, -0.05116242170333862, -0.022878827527165413, 0.020256822928786278, 0.015866748988628387, 0.06490477919578552, -0.016626937314867973, -0.03399549797177315, 0.010879543609917164, 0.05793564021587372, -0.09149350970983505, -0.07235763221979141, -0.020180849358439445, 0.02507481910288334, -0.03848699480295181, 0.017592299729585648, 0.033809468150138855, 0.055591221898794174, 0.004520171321928501, -0.06944424659013748, -0.08740735799074173, -0.10626024752855301, 0.019314279779791832, 0.03099866397678852, -0.024996882304549217, 0.002270506462082267, -0.042526062577962875, 0.10408315807580948, 0.004014618694782257, -0.03665856644511223, -0.04928597807884216, 0.020456628873944283, 0.055928461253643036, 0.011712627485394478, -0.10747610032558441, -0.08856809139251709, 0.0031384313479065895, -0.011194628663361073, 0.05100573971867561, -0.07862836867570877, -0.03720759600400925, -0.041391678154468536, 0.02850893698632717, -0.06695546954870224, -0.027123188599944115, 0.018489886075258255, -0.028895989060401917, -0.0441163070499897, -0.020038239657878876, -0.02506479062139988, 0.027081426233053207, -0.05590137094259262, -0.012065630406141281, 0.02676861174404621, -0.0237483661621809, 0.0016956337494775653, -0.0672113448381424, 0.03385946899652481, -5.4760686651889046e-08, 0.04768047109246254, -0.0769532099366188, -0.03175833076238632, -0.018969399854540825, 0.014987250789999962, -0.10245300084352493, -0.08309029042720795, 0.014935817569494247, 0.04367714002728462, 0.061606310307979584, -0.14924955368041992, 0.10177448391914368, -0.03653975576162338, -0.014105687849223614, -0.030689287930727005, -9.916108683682978e-05, -0.04120047017931938, 0.08105520904064178, -0.021182961761951447, -0.027162570506334305, -0.0837237760424614, -0.06770922988653183, -0.027420062571763992, -0.03926657885313034, 0.02920912206172943, -0.0036954807583242655, -0.0028452924452722073, 0.07019061595201492, -0.05220477655529976, 0.05437465384602547, 0.01748521998524666, -0.011022379621863365, 0.01823882758617401, -0.018230807036161423, 0.018933918327093124, 0.004386308137327433, 0.057038694620132446, -0.04080871865153313, -0.05028403177857399, 0.005645920522511005, 0.04072198271751404, -0.07296660542488098, 0.04539104178547859, -0.006793173495680094, -0.04562082141637802, -0.07470487058162689, 0.0292337816208601, 0.030701249837875366, 0.06320618838071823, 0.023430611938238144, 0.0023273860570043325, 0.009574325755238533, 0.033835045993328094, 0.021068910136818886, -0.04445158690214157, -0.007159365341067314, 0.0593973845243454, 0.01727432943880558, 0.035791318863630295, 0.01762230321764946, 0.0819714218378067, 0.030247513204813004, 0.09871969372034073, -0.04303520917892456]",2
